#Id,DestinationId,RatesTag,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_1001_0.5f,DST_1001,RT_0.5f_PM,*up,4,0,
DR_1002_0.5f,DST_1002,RT_0.5f_PM,*up,4,0,
DR_1003_0.5f,DST_1003,RT_0.5f_PM,*up,4,0,
DR_1004_0.5f,DST_1004,RT_0.5f_PM,*up,4,0,
DR_1005_0.5f,DST_1005,RT_0.5f_PM,*up,4,0,
DR-1006_0.5f,DST_1006,RT_0.5f_PM,*up,4,0,
